perm_acc,main_folder,sub_folder,processing_time
0.445333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute192_WINS_BINS_FC_BOLD_all,1769148622
0.4995,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute193_WINS_BINS_FC_BOLD_all,1769148622
0.540166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute194_WINS_BINS_FC_BOLD_all,1769148622
0.5725,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute195_WINS_BINS_FC_BOLD_all,1769148622
0.508333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute196_WINS_BINS_FC_BOLD_all,1769148622
0.659666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute197_WINS_BINS_FC_BOLD_all,1769148622
0.5445,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute198_WINS_BINS_FC_BOLD_all,1769148622
0.458833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute199_WINS_BINS_FC_BOLD_all,1769148617
0.393333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute19_WINS_BINS_FC_BOLD_all,1769148622
0.508666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute1_WINS_BINS_FC_BOLD_all,1769148539
0.676666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute200_WINS_BINS_FC_BOLD_all,1769148617
0.455666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute201_WINS_BINS_FC_BOLD_all,1769148619
0.4705,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute202_WINS_BINS_FC_BOLD_all,1769148619
0.5665,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute203_WINS_BINS_FC_BOLD_all,1769148619
0.503666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute204_WINS_BINS_FC_BOLD_all,1769148619
0.4835,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute205_WINS_BINS_FC_BOLD_all,1769148619
0.477833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute206_WINS_BINS_FC_BOLD_all,1769148619
0.478666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute207_WINS_BINS_FC_BOLD_all,1769148618
0.4135,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute208_WINS_BINS_FC_BOLD_all,1769148618
0.596166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute209_WINS_BINS_FC_BOLD_all,1769148618
0.531166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute20_WINS_BINS_FC_BOLD_all,1769148617
0.498333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute210_WINS_BINS_FC_BOLD_all,1769148616
0.5595,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute211_WINS_BINS_FC_BOLD_all,1769148623
0.353,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute212_WINS_BINS_FC_BOLD_all,1769148622
0.494666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute213_WINS_BINS_FC_BOLD_all,1769148623
0.505,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute214_WINS_BINS_FC_BOLD_all,1769148623
0.524166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute215_WINS_BINS_FC_BOLD_all,1769148622
0.487666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute216_WINS_BINS_FC_BOLD_all,1769148622
0.512666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute217_WINS_BINS_FC_BOLD_all,1769148622
0.496333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute218_WINS_BINS_FC_BOLD_all,1769148622
0.470833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute219_WINS_BINS_FC_BOLD_all,1769148639
0.456,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute21_WINS_BINS_FC_BOLD_all,1769148617
0.5975,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute220_WINS_BINS_FC_BOLD_all,1769148623
0.5085,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute221_WINS_BINS_FC_BOLD_all,1769148623
0.556166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute222_WINS_BINS_FC_BOLD_all,1769148623
0.554,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute223_WINS_BINS_FC_BOLD_all,1769148622
0.514333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute224_WINS_BINS_FC_BOLD_all,1769148618
0.5965,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute225_WINS_BINS_FC_BOLD_all,1769148618
0.453,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute226_WINS_BINS_FC_BOLD_all,1769148617
0.406333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute227_WINS_BINS_FC_BOLD_all,1769148618
